eglenceler	eglence
bölme	bölme
qıdırmağa	qıdır
emin	emin
vaqialarına	vaqia
kollektivizatsiya	kollektivizatsiya
faydalandı	faydalan
klubunda	klub
parlamentke	parlament
işitkenimden	eşit
ögge	ög
gruppadan	gruppa
oynadı	oyna
tuta	tut
tuta	tut
haritasını	harita
faydalanılır	faydalan
faydalanılır	faydalan
faydalanılır	faydalan
tillerine	til
musafirniñ	musafir
kategoriyalarda	kategoriya
uçağını	uçaq
uyezdiniñ	uyezd
tasiliniñ	tasil
uçaqqa	uçaq
uruştan	uruş
kâinat	kâinat
almanca	alman
almanca	almanca
almanca	almanca
mimariy	mimariy
tenqit	tenqit
sıqıştırılğan	sıqıştır
sıqıştırılğan	sıqıştır
sıqıştırılğan	sıqıştır
sıqıştırılğan	sıqıştır
mayor	mayor
senelerden	sene
çalmazdan	çal
fırsat	fırsat
muallimi	muallim
piyanoğa	piyano
saytı	sayt
klassiki	klassik
birleşmesine	birleş
birleşmesine	birleşme
obyektiv	obyektiv
türkü	türk
türkü	türkü
türkü	türk
türkü	türk
türkü	türkü
meydanlıqqa	meydanlıq
kitaphaneniñ	kitaphane
müdiri	müdir
oğlannı	oğlan
taşlamaq	taşla
dissertatsiyası	dissertatsiya
turizmden	turizm
ölüminiñ	ölüm
okeanlarına	okean
basıla	bas
basıla	bas
insaniyetlik	insaniyetlik
tedaviylengen	tedaviylen
tedaviylengen	tedaviylen
tedaviylengen	tedaviylen
tedaviylengen	tedaviylen
albomı	albom
memuarlar	memuarlar
kontrol	kontrol
ayta	ayt
ayta	ayt
ettirmek	ettir
çekkenlerinden	çek
okeandan	okean
osmanlıca	osmanlı
müddetten	müddet
keder	keder
çevirmege	çevir
yaşlıqnıñ	yaşlıq
batıl	bat
bulunğanını	bulun
mevzularınen	mevzu
sahrası	sahra
becerikli	becerikli
cedvelni	cedvel
balalarnı	bala
üstüne	üst
evden	ev
zulüm	zulüm
munasebetler	munasebet
başında	baş
oğraşqanı	oğra
yapılmaz	yap
yapılmaz	yapıl
yapılmaz	yap
yapılmaz	yapıl
kötermek	köter
optikiy	optikiy
taqiqatçı	taqiqatçı
dersliklerini	derslik
fizika	fizika
yolbaşçılığınıñ	yolbaşçılıq
selâmım	selâm
baba	baba
iman	iman
gemisi	gemi
parlamentinen	parlament
begen	begen
işğal	işğal
açıla	aç
açıla	aç
ettirildi	ettir
zavodları	zavod
organlarğa	organ
asılzadeler	asılzade
evlerine	ev
hucur	hucur
nümünelerini	nümüne
saylanalar	sayla
destanlarından	destan
diplomını	diplom
qabilesiniñ	qabile
uran	uran
ükümetleriniñ	ükümet
i̇nstitutı	institut
telükesinen	telüke
gazetasını	gazeta
bitmesinen	bit
milletimizni	millet
yarımadağa	yarımada
i̇klimi	iklim
namı	nam
tehnikumı	tehnikum
cennetine	cennet
olunmaq	ol
müessise	müessise
qullanılacaq	qullan
qullanılacaq	qullan
qullanılacaq	qullan
quyularına	quyu
elifbesi	elifbe
tabiatınıñ	tabiat
ikâyelerinde	ikâye
quvetleri	quvet
kategotiyasında	kategotiya
doğrudan	doğrudan
mudafaasına	mudafaa
çaypamaq	çaypa
imkânı	imkân
tertip	tertip
vazifelerinde	vazife
olmağanı	ol
issi	issi
sülâleler	sülâle
basımı	basım
leytenantı	leytenant
suvnı	suv
zulumğa	zulum
şekillenüvinen	şekillen
qabileler	qabile
yevronıñ	yevro
etim	et
cılt	cılt
oğul	oğul
küçüni	küç
kontakt	kontakt
vatanımızda	vatan
mezarına	mezar
topraqlarğa	topraq
ötkerici	ötker
materiallar	material
keçmeycek	keç
keçmeycek	keç
keçmeycek	keç
sınıfta	sınıf
ziyaretine	ziyaret
olmasınıñ	ol
denile	denil
denile	denil
neşriyatta	neşriyat
cian	cian
oquy	oqu
oquy	oqu
dağlıq	dağlıq
radiosı	radio
ketirmege	ketir
ilvanlar	ilvan
gençlerini	genç
isimge	isim
oğraşqan	oğra
oğraşqan	oğra
oğraşqan	oğra
oğraşqan	oğra
körmegeni	kör
tercime	tercime
vaziyetniñ	vaziyet
sülâlelerni	sülâle
baqasıñ	baq
ösmürlerni	ösmür
olacaq	ol
olacaq	ol
olacaq	ol
batqandan	bat
yaratılıp	yarat
yaratılıp	yarat
parçalar	parça
qoşulıp	qoş
qoşulıp	qoş
namus	namus
koreyalılar	koreyalı
terciman	terciman
ailesinden	aile
mühbir	mühbir
naqliy	naqliy
gençlikke	gençlik
mektüpleşe	mektüpleş
mektüpleşe	mektüpleş
yolaq	yolaq
pyesalarını	pyesa
professorlardan	professor
baar	baar
teşekkül	teşekkül
milletçilik	milletçilik
mektüpler	mektüp
üyle	üyle
çevirilgenden	çevir
teñeştirem	teñeştir
sesini	ses
töpesi	töpe
töpesi	töpesi
qalemi	qalem
haneniñ	hane
bayramlarda	bayram
tuvğanları	tuv
tuvğanları	tuvğan
siyasetçisi	siyasetçi
reisligini	reislik
emrinen	emir
kişinen	kişi
oktâbr	oktâbr
ettirmege	ettir
sürgünlikke	sürgünlik
ocalarğa	oca
bolşevikler	bolşevik
keçken	keç
keçken	keç
keçken	keç
keçken	keç
macarca	macar
ötmek	ötmek
institutlarda	institut
kösteriş	köster
qurma	qur
qurma	qur
köşege	köşe
ormanı	orman
köydeşlerine	köydeş
mukâfatnen	mukâfat
evlerde	ev
taqiqatçıları	taqiqatçı
qamaçavda	qamaçav
dernegi	dernek
icracınıñ	icracı
parlament	parlament
öldürgen	öldür
öldürgen	öldür
öldürgen	öldürgen
öldürgen	öldür
öldürgen	öldür
kerginleşe	kerginleş
kerginleşe	kerginleş
koruma	kor
koruma	koru
koruma	koru
bölükten	bölük
oqulğan	oqu
oqulğan	oqu
oqulğan	oqu
oqulğan	oqu
mevqi	mevqi
yollay	yolla
yollay	yolla
yaşamay	yaşa
yaşamay	yaşa
terkip	terkip
binalarınen	bina
institutını	institut
tekrar	tekrar
tekrar	tekrar
keçirirler	keçir
sebepçi	sebepçi
adlandırıla	adlandır
adlandırıla	adlandır
altına	alt
balavuz	balavuz
ilimniñ	il
ilimniñ	ilim
yasaqlanğan	yasaqlan
yasaqlanğan	yasaqlan
yasaqlanğan	yasaqlan
yasaqlanğan	yasaqlan
avalesinen	avale
komitetleri	komitet
birleştirip	birleştir
birleştirip	birleştir
topçu	topçu
yaşayışı	yaşayış
raatlanmaq	raatlan
kül	kül
kül	kül
doğurır	doğur
doğurır	doğur
doğurır	doğur
tamırdan	tamır
rayonlarında	rayon
terenligine	terenlik
qıtanıñ	qıta
ortaq	ortaq
şeadetnamesi	şeadetname
ortaqlaşa	ortaqlaş
ortaqlaşa	ortaqlaş
qaytarğan	qaytar
qaytarğan	qaytar
qaytarğan	qaytar
qaytarğan	qaytar
guberniyalarına	guberniya
qoyu	qoy
okeanlarğa	okean
vokzalı	vokzal
turmuşı	turmuş
büyük	büyük
merkezinde	merkez
kündoğuş	kündoğuş
taraflarnı	taraf
zarardan	zarar
oğulları	oğul
qalınlığı	qalınlıq
inanılğan	inan
inanılğan	inan
inanılğan	inan
inanılğan	inan
toplağan	topla
toplağan	topla
toplağan	topla
toplağan	topla
ölü	ölü
eglenirler	eglen
yalılarını	yalı
arareti	araret
silindiler	sil
yerine	yer
katalog	katalog
idare	idare
yayınında	yayın
büyüklikke	büyüklik
dersi	ders
temsilciliginen	temsilcilik
terminologiya	terminologiya
evliya	evliya
ücümge	ücüm
insanlarnı	insan
ettirdi	ettir
maddiy	maddiy
qusurları	qusur
elyazma	elyazma
qutubı	qutup
çöllerinde	çöl
strategik	strategik
avanıñ	ava
avanıñ	avan
qatında	qat
etildiler	et
etildiler	etil
qonuşqan	qon
qonuşqan	qon
qonuşqan	qonuş
qonuşqan	qonuş
qonuşqan	qon
qonuşqan	qonuş
qonuşqan	qon
qonuşqan	qonuş
muzıkası	muzıka
sıñırından	sıñır
atalar	at
atalar	ata
ast	ast
unutmayaraq	unut
sessiyasında	sessiya
soqaqtan	soqaq
şeffaf	şeffaf
prokuraturasında	prokuratura
zan	zan
merkezini	merkez
protsess	protsess
qırımçaqlar	qırımçaq
sığmaz	sığ
sığmaz	sığ
dil	dil
sıçrama	sıçra
sıçrama	sıçra
isviçreli	isviçreli
ümüt	ümüt
şiirlerinde	şiir
namusımız	namus
firmasında	firma
ustalıqnı	ustalıq
oğraşqanlarnıñ	oğra
tutqanı	tut
yıl	yıl
devir	devir
devir	devir
bulunır	bulun
bulunır	bulun
bulunır	bulun
qavimleriniñ	qavim
asılzadelerni	asılzade
özende	özen
studenti	student
şarqnıñ	şarq
keçer	keç
keçer	keç
keçer	keç
taqdirine	taqdir
sıñır	sıñır
yanaşmadılar	yanaş
milletler	millet
endese	endese
qıpçaq	qıpçaq
yerde	yer
börekler	börek
buyruq	buyruq
sözlerde	söz
çeçek	çeçek
grivna	grivna
teren	teren
tamiri	tamir
qurşun	qurşun
vucutnı	vucut
muqavelesi	muqavele
yana	yan
yana	yan
mukâfatında	mukâfat
adamları	adam
cemaatqa	cemaat
civarına	civar
seyircilerini	seyirci
etilüv	et
etilüv	etil
pyesalardan	pyesa
taşlaycağını	taşla
internette	internet
ürmetke	ürmet
adiy	adiy
sünniylik	sünniylik
mekteplerde	mektep
namzeti	namzet
köşe	köşe
birlikte	birlik
yüksekligi	yükseklik
emirleri	emir
çağırıldı	çağır
töküle	tök
töküle	tökül
töküle	tök
töküle	tökül
imzalandı	imzala
yıldızı	yıldız
beyiniñ	bey
i̇rmaqlar	irmaq
povestini	povest
sevdalıq	sevdalıq
qamere	qamere
yazıları	yazı
i̇slâmda	i̇slâm
i̇slâmda	islâm
usullarına	usul
bilirsiñiz	bil
istegen	iste
istegen	iste
istegen	iste
istegen	iste
azat	azat
faaliyetinen	faaliyet
esaslanıp	esaslan
esaslanıp	esaslan
sözüni	söz
neticelengen	neticelen
neticelengen	neticelen
neticelengen	neticelen
neticelengen	neticelen
saraylarında	saray
neticesine	netice
dualarnı	dua
romanlarını	roman
öglerinde	ög
qalem	qale
qalem	qalem
yattı	yat
finans	finans
şaşırğan	şaşır
şaşırğan	şaşır
şaşırğan	şaşırğan
şaşırğan	şaşır
şaşırğan	şaşır
planlaştırğan	planlaştır
planlaştırğan	planlaştır
planlaştırğan	planlaştır
planlaştırğan	planlaştır
imkânını	imkân
povest	povest
birlik	birlik
mecmuasına	mecmua
sıcaq	sıcaq
om	om
babamnıñ	baba
albomnıñ	albom
sürgünliginiñ	sürgünlik
qalemini	qalem
senelik	senelik
bostancı	bostancı
sebeplerinden	sebep
hızmetler	hızmet
qadınlardan	qadın
faşist	faşist
oğraşmay	oğra
oğraşmay	oğra
dernek	dernek
müitniñ	müit
hazine	hazine
qızlarına	qız
vaqtınca	vaqıt
vaqtınca	vaqtınca
yetti	yet
şey	şey
saylamağa	sayla
degeriniñ	deger
derslik	derslik
qavim	qavim
muzıkasınıñ	muzıka
esaslanğan	esaslan
esaslanğan	esaslan
esaslanğan	esaslan
esaslanğan	esaslan
cemiyetlerni	cemiyet
paytahtınen	paytaht
namzetleri	namzet
qısımlardan	qısım
vazgeçmekni	vazgeç
icretçilerni	icretçi
sevip	sev
sevip	sev
telekanalı	telekanal
dest	dest
mirasçısı	mirasçı
istey	iste
istey	iste
müddetine	müddet
taqdimi	taqdim
suiqastnen	suiqast
gala	gala
medeniy	medeniy
şairleri	şair
siyasetini	siyaset
vefatınıñ	vefat
quru	quru
meyva	meyva
seyyaresi	seyyare
meydanı	meydan
meraq	meraq
oğurlı	oğurlı
neşe	neşe
kitaplarını	kitap
tapılmağanından	tap
şiirinde	şiir
ocalarnen	oca
şiiriyeti	şiiriyet
boysunuv	boysun
azırlanğan	azırla
azırlanğan	azırla
azırlanğan	azırla
azırlanğan	azırla
qıtası	qıta
çil	çil
berbat	berbat
ebediyleştirdi	ebediyleştir
hanımda	han
ruslarğa	rus
yollap	yolla
yollap	yolla
oñ	oñ
körüşmek	kör
qar	qar
dininden	din
sabasına	saba
ibarelerniñ	ibare
seyran	seyran
çeşitleri	çeşit
maruzanen	maruza
sebebi	sebep
ketirilüviniñ	ketir
federatsiyası	federatsiya
çağıruv	çağır
bilmesi	bil
qaytarılmadı	qaytar
şübe	şübe
qave	qave
hurafat	hurafat
asa	asa
yerleşüvi	yerleş
nazir	nazir
yetişken	yet
yetişken	yet
yetişken	yetişken
yetişken	yet
yetişken	yet
bağlarını	bağ
bağlarını	bağlar
yolbaşçımız	yolbaşçı
talaplarına	talap
eterek	et
yararlıqları	yararlıq
küreşte	küreş
sözleri	söz
yaşay	yaşa
yaşay	yaşa
zamanlar	zaman
qazanç	qazanç
cemiyetleri	cemiyet
bağçası	bağça
yazılmaqta	yaz
kösterilgen	köster
kösterilgen	köster
kösterilgen	köster
kösterilgen	köster
formatında	format
mensüp	mensüp
kölemde	kölem
simvolları	simvol
gürdeli	gürdeli
osmanlılarğa	osmanlı
leksikasınıñ	leksika
yañılıqlar	yañılıq
mustaqilligini	mustaqillik
qardaşlarıma	qardaş
kirmege	kir
öldürip	öldür
öldürip	öldür
qalelerini	qale
vazifesi	vazife
toplanmasınen	topla
kürkçüler	kürkçü
kütleviyleştirilmesi	kütleviyleştir
renkte	renk
köylerini	köy
icretniñ	icret
virüs	virüs
şivesi	şive
etiñiz	et
etiñiz	et
istiqamette	istiqamet
dede	dede
nezaret	nezaret
reisi	reis
memurlarnıñ	memur
qurtuldı	qurtul
sarfı	sarf
bilgenlerniñ	bil
reisini	reis
kirsetilmegen	kirset
kirsetilmegen	kirset
kirsetilmegen	kirset
kirsetilmegen	kirset
estetika	estetika
hanını	han
doğuv	doğ
ğıyabiy	ğıyabiy
variantlarda	variant
mahsullar	mahsul
komissiya	komissiya
oluna	ol
oluna	ol
çırmavuq	çırmavuq
akimiyeti	akimiyet
tilleri	til
horluqtan	horluq
etkenlerini	et
dersliklerde	derslik
yolunı	yol
radasına	rada
mezarlarınıñ	mezar
saqlanması	saqla
insanlıqqa	insanlıq
seferlerge	sefer
civarında	civar
ülkede	ülke
ormanda	orman
qayanıñ	qaya
tutulğan	tut
tutulğan	tut
tutulğan	tutul
tutulğan	tutul
tutulğan	tut
tutulğan	tutul
tutulğan	tut
tutulğan	tutul
yaralanıp	yaralan
yaralanıp	yaralan
fırqanıñ	fırqa
mışıq	mışıq
dünya	dünya
ikâyeleriniñ	ikâye
operatsiyası	operatsiya
öyle	öyle
öyle	öyle
duşmanlıq	duşmanlıq
askerlerge	asker
bilingen	bil
bilingen	bil
bilingen	bil
bilingen	bil
klubnıñ	klub
qısqartılğan	qısqartılğan
malik	malik
dinler	din
bildirilgen	bildir
bildirilgen	bildir
bildirilgen	bildir
bildirilgen	bildir
ealilerine	eali
qanunlarğa	qanun
yaşamağa	yaşa
çalışmalarğa	çal
çalışmalarğa	çalış
edebiyat	edebiyat
eykeltraş	eykeltraş
amerikan	amerikan
eyyet	eyyet
cemaatı	cemaat
vaqianı	vaqia
saylana	sayla
saylana	sayla
qaçaraq	qaç
çalışmağa	çal
çalışmağa	çalış
ümütlerge	ümüt
boğazı	boğaz
kesilmesiniñ	kesil
dağları	dağ
soñra	soñra
bestekârlar	bestekâr
köçkenlerniñ	köç
tınuvından	tın
erik	erik
temelini	temel
milliy	milliy
tehnik	tehnik
qabilelerni	qabile
davetinen	davet
tesiri	tesir
külkünçli	külkünçli
boylarında	boy
boy	boy
radiosından	radio
uzunlıqlarda	uzunlıq
papazı	papaz
oquvnı	oqu
oquvnı	oquv
yazısı	yazı
köçmek	köç
medeniyetni	medeniyet
balalığı	balalıq
horaz	horaz
olğanını	ol
strategiyanı	strategiya
çuvaşlar	çuvaş
sütü	süt
qalesini	qale
ölümden	ölü
ölümden	ölüm
şairlerine	şair
yandı	yan
saylavlarnıñ	sayla
saylavlarnıñ	saylav
şaqalarnı	şaqa
çıqarğanlar	çıqar
çıqarğanlar	çıqar
ösüv	ös
tatarlarından	tatar
tamğaları	tamğa
şiirden	şiir
yırlarını	yır
tantanalar	tantana
maarifi	maarif
direktor	direktor
deputatlardan	deputat
soqağı	soqaq
şeeriniñ	şeer
nazariyesiniñ	nazariye
saylavları	sayla
saylavları	saylav
proyektlerine	proyekt
kooperatsiyası	kooperatsiya
mabet	mabet
teftiş	teftiş
tuccarına	tuccar
itaatında	itaat
sarayğa	saray
şanına	şan
litseyde	litsey
video	video
vaqialar	vaqia
topraqlarında	topraq
yerleştik	yerleş
yerleştik	yerleş
i̇kâyeler	ikâye
teñeştirilgen	teñeştir
teñeştirilgen	teñeştir
teñeştirilgen	teñeştir
teñeştirilgen	teñeştir
işke	iş
kâğıt	kâğıt
qıtasınıñ	qıta
üslüplerniñ	üslüp
statusına	status
gazetasında	gazeta
şeerlerge	şeer
faydalanıldı	faydalan
allı-taqatlı	allı-taqatlı
ögrenilgeni	ögren
kezinti	kezinti
etilgeniniñ	et
etilgeniniñ	etil
cenkke	cenk
ortodoks	ortodoks
ailede	aile
furtuna	furtuna
luğatlar	luğat
qaramanları	qaraman
teşkilâtlarnıñ	teşkilât
ötkergen	ötker
ötkergen	ötker
ötkergen	ötker
ötkergen	ötker
diñlegende	diñle
qoşmalar	qoş
qanunlar	qanun
şiarlar	şiar
uruşları	uruş
etkenlerine	et
malı	mal
nevbetleşme	nevbetleş
nevbetleşme	nevbetleş
esirlikte	esirlik
temsil	temsil
kirişti	kir
kirişti	kiriş
yarımadası	yarımada
macar	macar
bosağalarınıñ	bosağa
studentler	student
imzalamağa	imzala
üst	üst
mebus	mebus
sülâlelerden	sülâle
yaqınlıq	yaqınlıq
tiklenüvi	tikle
tiklenüvi	tiklen
han	han
çıqarılmasında	çıqar
tedaviylenmek	tedaviylen
nazarını	nazar
qazaqlarnen	qazaq
müneverleriniñ	münever
müneverleriniñ	müneverler
cumhuriyetlerinden	cumhuriyet
hayallarını	hayal
yerlerniñ	yer
deñizinde	deñiz
hububat	hububat
telükesizlikniñ	telükesizlik
telâffuzı	telâffuz
şirketleri	şirket
sarımında	sarım
sebebini	sebep
es	es
memurlarnı	memur
ağlama	ağla
ağlama	ağla
konserva	konserva
eminliknen	eminlik
eminliknen	eminliknen
eksile	eksil
eksile	eksil
konstruktsiya	konstruktsiya
uruşqan	ur
uruşqan	ur
uruşqan	uruş
uruşqan	uruş
uruşqan	ur
uruşqan	uruş
uruşqan	ur
uruşqan	uruş
peşin	peşin
milletimizniñ	millet
qapatılğan	qapat
qapatılğan	qapat
qapatılğan	qapat
qapatılğan	qapat
körecek	kör
körecek	kör
körecek	kör
qapattı	qapat
diniy	diniy
eşitken	eşit
eşitken	eşit
eşitken	eşit
eşitken	eşit
mecburiy	mecburiy
hanlarına	han
donu	don
biznesi	biznes
yeñilip	yeñ
yeñilip	yeñ
çevresine	çevre
quralar	qur
dinleriniñ	din
nazirler	nazir
parçalarnı	parça
hızmetlerde	hızmet
qardaş	qardaş
soñunen	soñ
soñunen	soñu
yalısından	yalı
satılır	sat
satılır	sat
satılır	satıl
satılır	satıl
satılır	sat
satılır	satıl
serlevasınen	serleva
köylerinden	köy
regionlarında	region
etmekte	et
etmekte	et
sene	sene
orbita	orbita
faallik	faallik
mezarını	mezar
iklimine	iklim
gruppasından	gruppa
marşrutı	marşrut
ilk	ilk
mavı	mavı
blok	blok
bergiden	bergi
qavuşmağa	qavuş
professor	professor
közge	köz
tanıldı	tanı
tanıldı	tanıl
ihtisasınıñ	ihtisas
evlerinden	ev
merkez	merkez
cemiyetlerniñ	cemiyet
azaları	aza
ressamı	ressam
sülâlelerniñ	sülâle
vaqıtlarında	vaqıt
atılmaq	at
yetişmey	yet
yetişmey	yet
prezidentiniñ	prezident
söndürmemege	söndür
seyaatlar	seyaat
faydalanıla	faydalan
faydalanıla	faydalan
prokuraturasını	prokuratura
oğradı	oğra
maddelerniñ	madde
tarlıq	tarlıq
rayonına	rayon
gecelernen	gece
bağçalarda	bağça
ilimge	ilim
radioda	radio
qıral	qıral
eyyetiniñ	eyyet
azam	aza
nazarına	nazar
kerekligine	kereklik
ocaqlarında	ocaq
qarışuv	qarış
köstermek	köster
etmeleri	et
qoşulmasa	qoş
qoşulmasa	qoş
kursqa	kurs
ziyalıları	ziyalı
memuriy	memuriy
dülgeri	dülger
bazıda	bazıda
dağcınıñ	dağcı
zenginleşe	zenginleş
zenginleşe	zenginleş
qırımtatarcağa	qırımtatarca
davasını	dava
oquğan	oqu
oquğan	oqu
oquğan	oqu
oquğan	oqu
sobor	sobor
bekleyler	bekle
vilâyetinde	vilâyet
idareni	idare
süyrü	süyrü
keresinde	kere
hususlarını	husus
musafirlikke	musafirlik
yardımlaşuv	yardımlaş
müteşem	müteşem
tesirleri	tesir
halq	halq
yazar	yazar
leyhalar	leyha
iştirakçilerinden	iştirakçi
abidelerinden	abide
devletçiliginiñ	devletçilik
tecribesini	tecribe
yaqtı	yaq
gruppalarda	gruppa
jurnalistler	jurnalist
tahtalar	tahta
sentâbrden	sentâbr
ükümetlerini	ükümet
hadimi	hadim
teşebbüs	teşebbüs
tarafınen	taraf
advokat	advokat
aşk	aşk
sedası	seda
dekabr	dekabr
ög	ög
bağçada	bağça
istilâsını	istilâ
buzqıran	buzqıran
balıqçılar	balıqçı
satıp	sat
satıp	sat
parlamentiniñ	parlament
marşrut	marşrut
avuç	avuç
yaldızlı	yaldızlı
fırqasına	fırqa
şarqta	şarq
furtunalar	furtuna
universitet	universitet
dudağınen	dudaq
beklemekte	bekle
beklemekte	bekle
ğayeleri	ğaye
degen	de
degen	de
degen	de
degen	de
diqqat	diqqat
zıddiyet	zıddiyet
esletme	esletme
oyunlarını	oyun
eline	el
mekteplerinde	mektep
fabrikasını	fabrika
tatarım	tatar
belediye	belediye
taqır	taqır
i̇lk	ilk
seferni	sefer
noğayğa	noğay
manzum	manzum
çalışuvınen	çal
çalışuvınen	çalış
davulı	davul
köçmesine	köç
grajdan	grajdan
grajdan	grajdan
ikâyecisi	ikâyeci
jandarmeriyada	jandarmeriya
bağ	bağ
cenkiniñ	cenk
inşaatı	inşaat
istidat	istidat
bölüm	bölüm
italiyalılar	italiyalı
merkezge	merkez
yerlerine	yer
islâm	islâm
tahtqa	taht
munasebetlerniñ	munasebet
yete	yet
yete	yet
türkünde	türk
tiklep	tikle
tiklep	tikle
cinayetlerniñ	cinayet
fakultetinde	fakultet
manifest	manifest
